State,Year,Quarter,Brand,Transaction_count,Percentage,latitude,longitude
andaman-&-nicobar-islands,2018,1,Xiaomi,1665,0.247032641,11.740087,96.65864
andaman-&-nicobar-islands,2018,1,Samsung,1445,0.214391691,11.740087,96.65864
andaman-&-nicobar-islands,2018,1,Vivo,982,0.145697329,11.740087,96.65864
andaman-&-nicobar-islands,2018,1,Oppo,501,0.074332344,11.740087,96.65864
andaman-&-nicobar-islands,2018,1,OnePlus,332,0.04925816,11.740087,96.65864
andaman-&-nicobar-islands,2018,1,Realme,316,0.046884273,11.740087,96.65864
andaman-&-nicobar-islands,2018,1,Apple,229,0.033976261,11.740087,96.65864
andaman-&-nicobar-islands,2018,1,Motorola,226,0.033531157,11.740087,96.65864
andaman-&-nicobar-islands,2018,1,Lenovo,202,0.029970326,11.740087,96.65864
andaman-&-nicobar-islands,2018,1,Huawei,158,0.023442136,11.740087,96.65864
andaman-&-nicobar-islands,2018,1,Others,684,0.10148368,11.740087,96.65864
andaman-&-nicobar-islands,2018,2,Xiaomi,2303,0.24486975,11.740087,96.65864
andaman-&-nicobar-islands,2018,2,Samsung,1923,0.20446571,11.740087,96.65864
andaman-&-nicobar-islands,2018,2,Vivo,1523,0.161935141,11.740087,96.65864
andaman-&-nicobar-islands,2018,2,Oppo,708,0.075279107,11.740087,96.65864
andaman-&-nicobar-islands,2018,2,OnePlus,466,0.049548113,11.740087,96.65864
andaman-&-nicobar-islands,2018,2,Realme,465,0.049441786,11.740087,96.65864
andaman-&-nicobar-islands,2018,2,Motorola,319,0.033918129,11.740087,96.65864
andaman-&-nicobar-islands,2018,2,Apple,308,0.032748538,11.740087,96.65864
andaman-&-nicobar-islands,2018,2,Lenovo,244,0.025943647,11.740087,96.65864
andaman-&-nicobar-islands,2018,2,Huawei,230,0.024455077,11.740087,96.65864
andaman-&-nicobar-islands,2018,2,Others,916,0.097395003,11.740087,96.65864
andaman-&-nicobar-islands,2018,3,Xiaomi,2950,0.242818339,11.740087,96.65864
andaman-&-nicobar-islands,2018,3,Samsung,2409,0.198287925,11.740087,96.65864
andaman-&-nicobar-islands,2018,3,Vivo,2063,0.169808215,11.740087,96.65864
andaman-&-nicobar-islands,2018,3,Oppo,988,0.081323566,11.740087,96.65864
andaman-&-nicobar-islands,2018,3,OnePlus,617,0.050786073,11.740087,96.65864
andaman-&-nicobar-islands,2018,3,Realme,603,0.049633715,11.740087,96.65864
andaman-&-nicobar-islands,2018,3,Motorola,390,0.032101408,11.740087,96.65864
andaman-&-nicobar-islands,2018,3,Apple,371,0.030537493,11.740087,96.65864
andaman-&-nicobar-islands,2018,3,Huawei,314,0.025845749,11.740087,96.65864
andaman-&-nicobar-islands,2018,3,Lenovo,299,0.024611079,11.740087,96.65864
andaman-&-nicobar-islands,2018,3,Others,1145,0.09424644,11.740087,96.65864
andaman-&-nicobar-islands,2018,4,Xiaomi,3719,0.244317435,11.740087,96.65864
andaman-&-nicobar-islands,2018,4,Samsung,2936,0.192878728,11.740087,96.65864
andaman-&-nicobar-islands,2018,4,Vivo,2742,0.180134017,11.740087,96.65864
andaman-&-nicobar-islands,2018,4,Oppo,1268,0.083300486,11.740087,96.65864
andaman-&-nicobar-islands,2018,4,Realme,760,0.049927736,11.740087,96.65864
andaman-&-nicobar-islands,2018,4,OnePlus,721,0.047365655,11.740087,96.65864
andaman-&-nicobar-islands,2018,4,Motorola,474,0.031139141,11.740087,96.65864
andaman-&-nicobar-islands,2018,4,Apple,455,0.029890947,11.740087,96.65864
andaman-&-nicobar-islands,2018,4,Huawei,398,0.026146367,11.740087,96.65864
andaman-&-nicobar-islands,2018,4,Lenovo,377,0.024766785,11.740087,96.65864
andaman-&-nicobar-islands,2018,4,Others,1372,0.090132703,11.740087,96.65864
andaman-&-nicobar-islands,2019,1,Xiaomi,4576,0.246074425,11.740087,96.65864
andaman-&-nicobar-islands,2019,1,Samsung,3567,0.191815444,11.740087,96.65864
andaman-&-nicobar-islands,2019,1,Vivo,3420,0.183910518,11.740087,96.65864
andaman-&-nicobar-islands,2019,1,Oppo,1600,0.086040009,11.740087,96.65864
andaman-&-nicobar-islands,2019,1,Realme,897,0.04823618,11.740087,96.65864
andaman-&-nicobar-islands,2019,1,OnePlus,855,0.04597763,11.740087,96.65864
andaman-&-nicobar-islands,2019,1,Motorola,561,0.030167778,11.740087,96.65864
andaman-&-nicobar-islands,2019,1,Apple,515,0.027694128,11.740087,96.65864
andaman-&-nicobar-islands,2019,1,Huawei,515,0.027694128,11.740087,96.65864
andaman-&-nicobar-islands,2019,1,Lenovo,426,0.022908152,11.740087,96.65864
andaman-&-nicobar-islands,2019,1,Others,1664,0.089481609,11.740087,96.65864
andaman-&-nicobar-islands,2019,2,Xiaomi,5296,0.243707146,11.740087,96.65864
andaman-&-nicobar-islands,2019,2,Samsung,4165,0.191661681,11.740087,96.65864
andaman-&-nicobar-islands,2019,2,Vivo,4102,0.188762597,11.740087,96.65864
andaman-&-nicobar-islands,2019,2,Oppo,1905,0.087662786,11.740087,96.65864
andaman-&-nicobar-islands,2019,2,Realme,1012,0.046569417,11.740087,96.65864
andaman-&-nicobar-islands,2019,2,OnePlus,950,0.04371635,11.740087,96.65864
andaman-&-nicobar-islands,2019,2,Huawei,644,0.029635084,11.740087,96.65864
andaman-&-nicobar-islands,2019,2,Motorola,630,0.028990843,11.740087,96.65864
andaman-&-nicobar-islands,2019,2,Apple,569,0.026183793,11.740087,96.65864
andaman-&-nicobar-islands,2019,2,Lenovo,477,0.021950209,11.740087,96.65864
andaman-&-nicobar-islands,2019,2,Others,1981,0.091160094,11.740087,96.65864
andaman-&-nicobar-islands,2019,3,Xiaomi,5819,0.243157411,11.740087,96.65864
andaman-&-nicobar-islands,2019,3,Vivo,4685,0.195771175,11.740087,96.65864
andaman-&-nicobar-islands,2019,3,Samsung,4508,0.188374911,11.740087,96.65864
andaman-&-nicobar-islands,2019,3,Oppo,2108,0.088086582,11.740087,96.65864
andaman-&-nicobar-islands,2019,3,Realme,1158,0.048389119,11.740087,96.65864
andaman-&-nicobar-islands,2019,3,OnePlus,1045,0.04366721,11.740087,96.65864
andaman-&-nicobar-islands,2019,3,Huawei,725,0.030295433,11.740087,96.65864
andaman-&-nicobar-islands,2019,3,Motorola,660,0.02757929,11.740087,96.65864
andaman-&-nicobar-islands,2019,3,Apple,630,0.026325686,11.740087,96.65864
andaman-&-nicobar-islands,2019,3,Lenovo,483,0.020183026,11.740087,96.65864
andaman-&-nicobar-islands,2019,3,Others,2110,0.088170156,11.740087,96.65864
andaman-&-nicobar-islands,2019,4,Xiaomi,6259,0.241101695,11.740087,96.65864
andaman-&-nicobar-islands,2019,4,Vivo,5190,0.199922958,11.740087,96.65864
andaman-&-nicobar-islands,2019,4,Samsung,4900,0.188751926,11.740087,96.65864
andaman-&-nicobar-islands,2019,4,Oppo,2329,0.089714946,11.740087,96.65864
andaman-&-nicobar-islands,2019,4,Realme,1329,0.051194145,11.740087,96.65864
andaman-&-nicobar-islands,2019,4,OnePlus,1124,0.043297381,11.740087,96.65864
andaman-&-nicobar-islands,2019,4,Huawei,798,0.030739599,11.740087,96.65864
andaman-&-nicobar-islands,2019,4,Motorola,682,0.026271186,11.740087,96.65864
andaman-&-nicobar-islands,2019,4,Apple,678,0.026117103,11.740087,96.65864
andaman-&-nicobar-islands,2019,4,Lenovo,488,0.018798151,11.740087,96.65864
andaman-&-nicobar-islands,2019,4,Others,2183,0.084090909,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,Xiaomi,6803,0.239812465,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,Vivo,5880,0.207275804,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,Samsung,5335,0.188064016,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,Oppo,2557,0.090136774,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,Realme,1511,0.053264241,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,OnePlus,1184,0.041737169,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,Huawei,891,0.031408629,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,Apple,735,0.025909475,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,Motorola,715,0.025204456,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,Lenovo,500,0.017625494,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,Others,2257,0.079561478,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,Xiaomi,7805,0.238612045,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,Vivo,7122,0.217731581,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,Samsung,6030,0.184347294,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,Oppo,2976,0.090981351,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,Realme,1761,0.053836747,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,OnePlus,1271,0.038856619,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,Huawei,1005,0.030724549,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,Apple,792,0.024212779,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,Motorola,779,0.023815347,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,Lenovo,552,0.016875573,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,Others,2617,0.080006114,11.740087,96.65864
andaman-&-nicobar-islands,2020,3,Xiaomi,9794,0.236942059,11.740087,96.65864
andaman-&-nicobar-islands,2020,3,Vivo,9556,0.231184226,11.740087,96.65864
