State,Transaction_Year,Quarter,District,RegisteredUsers,latitude,longitude
andaman-&-nicobar-islands,2018,1,north and middle andaman district,632,11.740087,96.65864
andaman-&-nicobar-islands,2018,1,south andaman district,5846,11.740087,96.65864
andaman-&-nicobar-islands,2018,1,nicobars district,262,11.740087,96.65864
andaman-&-nicobar-islands,2018,2,north and middle andaman district,911,11.740087,96.65864
andaman-&-nicobar-islands,2018,2,south andaman district,8143,11.740087,96.65864
andaman-&-nicobar-islands,2018,2,nicobars district,351,11.740087,96.65864
andaman-&-nicobar-islands,2018,3,north and middle andaman district,1208,11.740087,96.65864
andaman-&-nicobar-islands,2018,3,south andaman district,10474,11.740087,96.65864
andaman-&-nicobar-islands,2018,3,nicobars district,467,11.740087,96.65864
andaman-&-nicobar-islands,2018,4,north and middle andaman district,1553,11.740087,96.65864
andaman-&-nicobar-islands,2018,4,south andaman district,13133,11.740087,96.65864
andaman-&-nicobar-islands,2018,4,nicobars district,536,11.740087,96.65864
andaman-&-nicobar-islands,2019,1,north and middle andaman district,2013,11.740087,96.65864
andaman-&-nicobar-islands,2019,1,south andaman district,15961,11.740087,96.65864
andaman-&-nicobar-islands,2019,1,nicobars district,622,11.740087,96.65864
andaman-&-nicobar-islands,2019,2,north and middle andaman district,2417,11.740087,96.65864
andaman-&-nicobar-islands,2019,2,south andaman district,18621,11.740087,96.65864
andaman-&-nicobar-islands,2019,2,nicobars district,693,11.740087,96.65864
andaman-&-nicobar-islands,2019,3,north and middle andaman district,2662,11.740087,96.65864
andaman-&-nicobar-islands,2019,3,south andaman district,20518,11.740087,96.65864
andaman-&-nicobar-islands,2019,3,nicobars district,751,11.740087,96.65864
andaman-&-nicobar-islands,2019,4,north and middle andaman district,2955,11.740087,96.65864
andaman-&-nicobar-islands,2019,4,south andaman district,22202,11.740087,96.65864
andaman-&-nicobar-islands,2019,4,nicobars district,803,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,north and middle andaman district,3315,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,south andaman district,24174,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,nicobars district,879,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,north and middle andaman district,4100,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,south andaman district,27626,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,nicobars district,984,11.740087,96.65864
andaman-&-nicobar-islands,2020,3,north and middle andaman district,5355,11.740087,96.65864
andaman-&-nicobar-islands,2020,3,south andaman district,34833,11.740087,96.65864
andaman-&-nicobar-islands,2020,3,nicobars district,1147,11.740087,96.65864
andaman-&-nicobar-islands,2020,4,north and middle andaman district,7076,11.740087,96.65864
andaman-&-nicobar-islands,2020,4,south andaman district,43908,11.740087,96.65864
andaman-&-nicobar-islands,2020,4,nicobars district,1412,11.740087,96.65864
andaman-&-nicobar-islands,2021,1,north and middle andaman district,7833,11.740087,96.65864
andaman-&-nicobar-islands,2021,1,south andaman district,48352,11.740087,96.65864
andaman-&-nicobar-islands,2021,1,nicobars district,1573,11.740087,96.65864
andaman-&-nicobar-islands,2021,2,north and middle andaman district,8493,11.740087,96.65864
andaman-&-nicobar-islands,2021,2,south andaman district,51903,11.740087,96.65864
andaman-&-nicobar-islands,2021,2,nicobars district,1699,11.740087,96.65864
andaman-&-nicobar-islands,2021,3,north and middle andaman district,9263,11.740087,96.65864
andaman-&-nicobar-islands,2021,3,south andaman district,55873,11.740087,96.65864
andaman-&-nicobar-islands,2021,3,nicobars district,1846,11.740087,96.65864
andaman-&-nicobar-islands,2021,4,north and middle andaman district,10002,11.740087,96.65864
andaman-&-nicobar-islands,2021,4,south andaman district,59807,11.740087,96.65864
andaman-&-nicobar-islands,2021,4,nicobars district,1971,11.740087,96.65864
andaman-&-nicobar-islands,2022,1,north and middle andaman district,10720,11.740087,96.65864
andaman-&-nicobar-islands,2022,1,south andaman district,63487,11.740087,96.65864
andaman-&-nicobar-islands,2022,1,nicobars district,2081,11.740087,96.65864
andaman-&-nicobar-islands,2022,2,north and middle andaman district,11379,11.740087,96.65864
andaman-&-nicobar-islands,2022,2,south andaman district,66959,11.740087,96.65864
andaman-&-nicobar-islands,2022,2,nicobars district,2192,11.740087,96.65864
andaman-&-nicobar-islands,2022,3,north and middle andaman district,11897,11.740087,96.65864
andaman-&-nicobar-islands,2022,3,south andaman district,70445,11.740087,96.65864
andaman-&-nicobar-islands,2022,3,nicobars district,2300,11.740087,96.65864
andaman-&-nicobar-islands,2022,4,north and middle andaman district,12361,11.740087,96.65864
andaman-&-nicobar-islands,2022,4,south andaman district,73692,11.740087,96.65864
andaman-&-nicobar-islands,2022,4,nicobars district,2389,11.740087,96.65864
andhra-pradesh,2018,1,east godavari district,350356,15.9129,79.739987
andhra-pradesh,2018,1,srikakulam district,143839,15.9129,79.739987
andhra-pradesh,2018,1,visakhapatnam district,497187,15.9129,79.739987
andhra-pradesh,2018,1,prakasam district,189949,15.9129,79.739987
andhra-pradesh,2018,1,anantapur district,241192,15.9129,79.739987
andhra-pradesh,2018,1,kurnool district,240133,15.9129,79.739987
andhra-pradesh,2018,1,guntur district,317065,15.9129,79.739987
andhra-pradesh,2018,1,krishna district,323673,15.9129,79.739987
andhra-pradesh,2018,1,spsr nellore district,194475,15.9129,79.739987
andhra-pradesh,2018,1,vizianagaram district,128905,15.9129,79.739987
andhra-pradesh,2018,1,ysr district,186800,15.9129,79.739987
andhra-pradesh,2018,1,west godavari district,213335,15.9129,79.739987
andhra-pradesh,2018,1,chittoor district,309541,15.9129,79.739987
andhra-pradesh,2018,2,east godavari district,454398,15.9129,79.739987
andhra-pradesh,2018,2,srikakulam district,186913,15.9129,79.739987
andhra-pradesh,2018,2,visakhapatnam district,636052,15.9129,79.739987
andhra-pradesh,2018,2,prakasam district,253458,15.9129,79.739987
andhra-pradesh,2018,2,anantapur district,326383,15.9129,79.739987
andhra-pradesh,2018,2,kurnool district,319313,15.9129,79.739987
andhra-pradesh,2018,2,guntur district,420326,15.9129,79.739987
andhra-pradesh,2018,2,krishna district,431965,15.9129,79.739987
andhra-pradesh,2018,2,spsr nellore district,261049,15.9129,79.739987
andhra-pradesh,2018,2,vizianagaram district,167327,15.9129,79.739987
andhra-pradesh,2018,2,ysr district,248657,15.9129,79.739987
andhra-pradesh,2018,2,west godavari district,282393,15.9129,79.739987
andhra-pradesh,2018,2,chittoor district,414306,15.9129,79.739987
andhra-pradesh,2018,3,east godavari district,558982,15.9129,79.739987
andhra-pradesh,2018,3,srikakulam district,228456,15.9129,79.739987
andhra-pradesh,2018,3,visakhapatnam district,769096,15.9129,79.739987
andhra-pradesh,2018,3,prakasam district,314899,15.9129,79.739987
andhra-pradesh,2018,3,anantapur district,405855,15.9129,79.739987
andhra-pradesh,2018,3,kurnool district,394311,15.9129,79.739987
andhra-pradesh,2018,3,guntur district,518931,15.9129,79.739987
andhra-pradesh,2018,3,krishna district,537086,15.9129,79.739987
andhra-pradesh,2018,3,spsr nellore district,322446,15.9129,79.739987
andhra-pradesh,2018,3,vizianagaram district,203655,15.9129,79.739987
andhra-pradesh,2018,3,ysr district,308391,15.9129,79.739987
andhra-pradesh,2018,3,west godavari district,349782,15.9129,79.739987
andhra-pradesh,2018,3,chittoor district,515727,15.9129,79.739987
andhra-pradesh,2018,4,east godavari district,694455,15.9129,79.739987
andhra-pradesh,2018,4,srikakulam district,284874,15.9129,79.739987
andhra-pradesh,2018,4,visakhapatnam district,978288,15.9129,79.739987
andhra-pradesh,2018,4,prakasam district,394962,15.9129,79.739987
andhra-pradesh,2018,4,anantapur district,510892,15.9129,79.739987
andhra-pradesh,2018,4,kurnool district,498582,15.9129,79.739987
andhra-pradesh,2018,4,guntur district,659552,15.9129,79.739987
andhra-pradesh,2018,4,krishna district,682479,15.9129,79.739987
andhra-pradesh,2018,4,spsr nellore district,407495,15.9129,79.739987
andhra-pradesh,2018,4,vizianagaram district,257824,15.9129,79.739987
andhra-pradesh,2018,4,ysr district,387058,15.9129,79.739987
andhra-pradesh,2018,4,west godavari district,435668,15.9129,79.739987
andhra-pradesh,2018,4,chittoor district,665280,15.9129,79.739987
andhra-pradesh,2019,1,east godavari district,839277,15.9129,79.739987
andhra-pradesh,2019,1,srikakulam district,345775,15.9129,79.739987
andhra-pradesh,2019,1,visakhapatnam district,1174517,15.9129,79.739987
andhra-pradesh,2019,1,prakasam district,474260,15.9129,79.739987
andhra-pradesh,2019,1,anantapur district,612162,15.9129,79.739987
andhra-pradesh,2019,1,kurnool district,599422,15.9129,79.739987
andhra-pradesh,2019,1,guntur district,802394,15.9129,79.739987
andhra-pradesh,2019,1,krishna district,833694,15.9129,79.739987
andhra-pradesh,2019,1,spsr nellore district,491908,15.9129,79.739987
andhra-pradesh,2019,1,vizianagaram district,313334,15.9129,79.739987
andhra-pradesh,2019,1,ysr district,460590,15.9129,79.739987
andhra-pradesh,2019,1,west godavari district,523372,15.9129,79.739987
andhra-pradesh,2019,1,chittoor district,812314,15.9129,79.739987
andhra-pradesh,2019,2,east godavari district,945181,15.9129,79.739987
andhra-pradesh,2019,2,srikakulam district,392764,15.9129,79.739987
andhra-pradesh,2019,2,visakhapatnam district,1318740,15.9129,79.739987
andhra-pradesh,2019,2,prakasam district,539462,15.9129,79.739987
andhra-pradesh,2019,2,anantapur district,695114,15.9129,79.739987
andhra-pradesh,2019,2,kurnool district,680118,15.9129,79.739987
andhra-pradesh,2019,2,guntur district,915256,15.9129,79.739987
andhra-pradesh,2019,2,krishna district,952300,15.9129,79.739987
andhra-pradesh,2019,2,spsr nellore district,558303,15.9129,79.739987
andhra-pradesh,2019,2,vizianagaram district,355058,15.9129,79.739987
andhra-pradesh,2019,2,ysr district,519031,15.9129,79.739987
andhra-pradesh,2019,2,west godavari district,592185,15.9129,79.739987
andhra-pradesh,2019,2,chittoor district,925491,15.9129,79.739987
andhra-pradesh,2019,3,east godavari district,1057167,15.9129,79.739987
andhra-pradesh,2019,3,srikakulam district,437939,15.9129,79.739987
andhra-pradesh,2019,3,visakhapatnam district,1460464,15.9129,79.739987
andhra-pradesh,2019,3,prakasam district,598568,15.9129,79.739987
