State,Transaction_year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount,latitude,longitude
andaman-&-nicobar-islands,2018,1,south andaman,5688,12560249.34,11.740087,96.65864
andaman-&-nicobar-islands,2018,1,nicobars,528,1139848.801,11.740087,96.65864
andaman-&-nicobar-islands,2018,1,north and middle andaman,442,931663.0771,11.740087,96.65864
andaman-&-nicobar-islands,2018,2,south andaman,9395,23948235.52,11.740087,96.65864
andaman-&-nicobar-islands,2018,2,nicobars,1120,3072436.908,11.740087,96.65864
andaman-&-nicobar-islands,2018,2,north and middle andaman,825,1317863.083,11.740087,96.65864
andaman-&-nicobar-islands,2018,3,south andaman,13511,44268112.46,11.740087,96.65864
andaman-&-nicobar-islands,2018,3,nicobars,1471,6387829.152,11.740087,96.65864
andaman-&-nicobar-islands,2018,3,north and middle andaman,1283,4901529.518,11.740087,96.65864
andaman-&-nicobar-islands,2018,4,south andaman,20136,75411840.8,11.740087,96.65864
andaman-&-nicobar-islands,2018,4,north and middle andaman,2137,7955635.918,11.740087,96.65864
andaman-&-nicobar-islands,2018,4,nicobars,1485,7180859.355,11.740087,96.65864
andaman-&-nicobar-islands,2019,1,south andaman,25683,85501972.39,11.740087,96.65864
andaman-&-nicobar-islands,2019,1,north and middle andaman,3264,9561708.736,11.740087,96.65864
andaman-&-nicobar-islands,2019,1,nicobars,1539,7236059.549,11.740087,96.65864
andaman-&-nicobar-islands,2019,2,south andaman,28490,102530955.7,11.740087,96.65864
andaman-&-nicobar-islands,2019,2,north and middle andaman,3371,8612103.138,11.740087,96.65864
andaman-&-nicobar-islands,2019,2,nicobars,1828,9111650.824,11.740087,96.65864
andaman-&-nicobar-islands,2019,3,south andaman,27421,91023888.33,11.740087,96.65864
andaman-&-nicobar-islands,2019,3,north and middle andaman,4049,11481466.28,11.740087,96.65864
andaman-&-nicobar-islands,2019,3,nicobars,2300,11566421.48,11.740087,96.65864
andaman-&-nicobar-islands,2019,4,south andaman,27843,110930312.2,11.740087,96.65864
andaman-&-nicobar-islands,2019,4,north and middle andaman,4716,13524056.78,11.740087,96.65864
andaman-&-nicobar-islands,2019,4,nicobars,2600,12384161.53,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,south andaman,32713,134679396.9,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,north and middle andaman,5674,14697371.62,11.740087,96.65864
andaman-&-nicobar-islands,2020,1,nicobars,2911,12099543.77,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,south andaman,48088,132855778.7,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,north and middle andaman,10979,22447714.06,11.740087,96.65864
andaman-&-nicobar-islands,2020,2,nicobars,3895,14341508.6,11.740087,96.65864
andaman-&-nicobar-islands,2020,3,south andaman,95323,282366109.2,11.740087,96.65864
andaman-&-nicobar-islands,2020,3,north and middle andaman,16747,33486883.37,11.740087,96.65864
andaman-&-nicobar-islands,2020,3,nicobars,5413,22166453.75,11.740087,96.65864
andaman-&-nicobar-islands,2020,4,south andaman,186494,523122462.9,11.740087,96.65864
andaman-&-nicobar-islands,2020,4,north and middle andaman,29349,68941322.39,11.740087,96.65864
andaman-&-nicobar-islands,2020,4,nicobars,8688,35218871.04,11.740087,96.65864
andaman-&-nicobar-islands,2021,1,south andaman,207092,669604045.1,11.740087,96.65864
andaman-&-nicobar-islands,2021,1,north and middle andaman,27358,75027255.28,11.740087,96.65864
andaman-&-nicobar-islands,2021,1,nicobars,10302,39075266.99,11.740087,96.65864
andaman-&-nicobar-islands,2021,2,south andaman,286907,760893020.6,11.740087,96.65864
andaman-&-nicobar-islands,2021,2,north and middle andaman,39200,90233388.79,11.740087,96.65864
andaman-&-nicobar-islands,2021,2,nicobars,15307,48020606.75,11.740087,96.65864
andaman-&-nicobar-islands,2021,3,south andaman,382418,1116789011,11.740087,96.65864
andaman-&-nicobar-islands,2021,3,north and middle andaman,46592,118254865.8,11.740087,96.65864
andaman-&-nicobar-islands,2021,3,nicobars,20754,74980519.33,11.740087,96.65864
andaman-&-nicobar-islands,2021,4,south andaman,558571,1694794708,11.740087,96.65864
andaman-&-nicobar-islands,2021,4,north and middle andaman,53115,156486112.3,11.740087,96.65864
andaman-&-nicobar-islands,2021,4,nicobars,24437,81329281.03,11.740087,96.65864
andaman-&-nicobar-islands,2022,1,south andaman,705512,1872991196,11.740087,96.65864
andaman-&-nicobar-islands,2022,1,north and middle andaman,60059,161624878.5,11.740087,96.65864
andaman-&-nicobar-islands,2022,1,nicobars,29177,94414127.65,11.740087,96.65864
andaman-&-nicobar-islands,2022,2,south andaman,954875,2357326563,11.740087,96.65864
andaman-&-nicobar-islands,2022,2,north and middle andaman,72573,195693167.8,11.740087,96.65864
andaman-&-nicobar-islands,2022,2,nicobars,43769,132900618.9,11.740087,96.65864
andaman-&-nicobar-islands,2022,3,south andaman,1455255,2967719401,11.740087,96.65864
andaman-&-nicobar-islands,2022,3,north and middle andaman,79574,211581970.3,11.740087,96.65864
andaman-&-nicobar-islands,2022,3,nicobars,49550,131330400.9,11.740087,96.65864
andaman-&-nicobar-islands,2022,4,south andaman,1835592,3600887266,11.740087,96.65864
andaman-&-nicobar-islands,2022,4,north and middle andaman,93297,241431284.4,11.740087,96.65864
andaman-&-nicobar-islands,2022,4,nicobars,58646,142355854,11.740087,96.65864
andhra-pradesh,2018,1,visakhapatnam,1256469,1749966197,15.9129,79.739987
andhra-pradesh,2018,1,east godavari,943935,1235785516,15.9129,79.739987
andhra-pradesh,2018,1,krishna,863935,1284255180,15.9129,79.739987
andhra-pradesh,2018,1,chittoor,830324,1009621878,15.9129,79.739987
